@relation vote-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute handicapped-infants=y numeric
@attribute water-project-cost-sharing=y numeric
@attribute adoption-of-the-budget-resolution=y numeric
@attribute physician-fee-freeze=y numeric
@attribute el-salvador-aid=y numeric
@attribute religious-groups-in-schools=y numeric
@attribute anti-satellite-test-ban=y numeric
@attribute aid-to-nicaraguan-contras=y numeric
@attribute mx-missile=y numeric
@attribute immigration=y numeric
@attribute synfuels-corporation-cutback=y numeric
@attribute education-spending=y numeric
@attribute superfund-right-to-sue=y numeric
@attribute crime=y numeric
@attribute duty-free-exports=y numeric
@attribute export-administration-act-south-africa=y numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute NewNumeric3 numeric
@attribute NewNumeric4 numeric
@attribute NewNumeric5 numeric
@attribute NewNumeric6 numeric
@attribute NewNumeric7 numeric
@attribute Class {democrat,republican}

@data
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.846948,0.557131,0.778539,0.325288,0.927027,0.479921,0.345035,0.505903,republican
0,0,0,1,1,0,1,1,0,1,0,1,1,1,?,1,0.381359,0.447303,0.677282,0.472767,0.953655,0.519091,0.106783,0.086625,republican
1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.80065,0.434939,0.840299,0.226804,0.034281,0.712643,0.417049,0.707826,democrat
1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0.585263,0.806474,0.639203,0.495715,0.268048,0.299959,0.890056,0.927906,democrat
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0.267658,0.547245,0.014457,0.708117,0.847269,0.989694,0.404853,0.178927,republican
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.243926,0.852496,0.417023,0.384764,0.446761,0.080005,0.802916,0.746978,republican
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.319575,0.223638,0.393397,0.337638,0.118855,0.076144,0.656861,0.698173,republican
?,?,0,0,?,1,?,0,0,0,1,1,0,1,0,?,0.884057,0.263065,0.396034,0.797086,0.96361,0.293709,0.067292,0.426042,democrat
1,0,1,0,0,0,1,1,1,0,0,0,0,0,?,1,0.858536,0.530793,0.65121,0.017768,0.093773,0.185841,0.694823,0.746097,democrat
?,0,1,0,0,0,1,1,1,1,1,?,0,0,1,?,0.811454,0.076209,0.166355,0.164222,0.663999,0.382629,0.48429,0.713371,democrat
0,?,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.886403,0.508217,0.208876,0.526797,0.98388,0.681026,0.788202,0.58869,republican
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.436849,0.717048,0.838513,0.368757,0.984305,0.473537,0.846452,0.62947,republican
0,1,1,?,1,1,0,1,0,1,?,0,1,1,?,1,0.51224,0.61103,0.325247,0.955337,0.556682,0.353979,0.829322,0.630827,democrat
1,1,1,0,1,1,0,1,?,1,0,0,1,1,0,?,0.590019,0.481591,0.534807,0.56551,0.534555,0.888579,0.900807,0.39276,democrat
1,?,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.198077,0.859775,0.613792,0.537284,0.337151,0.790699,0.009306,0.539219,democrat
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0.322188,0.977563,0.55645,0.647267,0.544379,0.98747,0.362688,0.364803,republican
0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0.742941,0.197261,0.485138,0.375317,0.922819,0.316611,0.794787,0.634905,democrat
0,0,1,0,0,1,?,1,?,1,1,1,0,1,1,?,0.696707,0.022261,0.7265,0.855039,0.672239,0.841718,0.48034,0.515054,democrat
0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0.505181,0.552433,0.015387,0.560916,0.912149,0.024306,0.705408,0.055263,republican
0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0.068014,0.497445,0.408563,0.032855,0.677952,0.24088,0.650309,0.905142,republican
0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0.363073,0.111283,0.74021,0.188926,0.946197,0.383318,0.392096,0.185566,republican
1,1,1,0,0,0,1,1,?,1,0,0,0,0,1,?,0.348875,0.661258,0.701283,0.027083,0.458485,0.53085,0.583608,0.692688,democrat
1,0,1,0,0,1,1,1,1,1,0,?,0,1,0,1,0.913696,0.294779,0.874729,0.766639,0.363546,0.931918,0.516125,0.860058,democrat
0,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,0.765913,0.417173,0.308612,0.730284,0.947029,0.784178,0.522667,0.154649,republican
0,0,?,0,1,1,0,0,0,0,1,1,1,1,0,1,0.4101,0.943836,0.459175,0.517419,0.968525,0.550957,0.928953,0.832564,democrat
1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.603407,0.039984,0.585862,0.269599,0.375364,0.802416,0.009065,0.230196,democrat
1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0.936754,0.211313,0.930336,0.07885,0.412712,0.819725,0.652842,0.016639,democrat
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.43538,0.858811,0.261533,0.839662,0.399499,0.450507,0.702038,0.08312,democrat
0,?,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.323266,0.661043,0.618769,0.095417,0.689714,0.953854,0.162266,0.995236,republican
0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0.34597,0.397152,0.334934,0.68005,0.588591,0.823188,0.747778,0.183776,republican
0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0.2964,0.073894,0.671816,0.20572,0.243228,0.825239,0.46609,0.299915,democrat
0,1,0,1,1,1,0,0,0,0,0,1,1,?,0,1,0.638072,0.469955,0.64957,0.697261,0.777152,0.743441,0.199504,0.410551,republican
1,1,0,0,0,0,1,1,?,0,1,0,0,0,1,?,0.370357,0.46086,0.902379,0.924218,0.188388,0.564003,0.490537,0.959579,democrat
0,1,0,1,1,1,0,?,0,0,?,?,?,1,0,?,0.530276,0.737728,0.642323,0.231223,0.780532,0.092963,0.988316,0.670867,republican
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.975351,0.783184,0.063496,0.917507,0.146388,0.242483,0.262934,0.818738,republican
0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0.342069,0.217678,0.768406,0.466336,0.973683,0.474677,0.944837,0.541713,democrat
0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0.324458,0.879516,0.04868,0.175125,0.19239,0.141256,0.396239,0.125316,republican
0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0.667336,0.251878,0.102107,0.987046,0.23321,0.707264,0.371626,0.429713,democrat
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.518749,0.100094,0.518056,0.574887,0.416711,0.097189,0.374352,0.887972,republican
1,1,1,0,0,0,1,1,1,0,?,0,0,0,0,?,0.036128,0.432474,0.6133,0.977948,0.742697,0.651734,0.666382,0.750718,democrat
0,1,1,0,0,?,1,1,1,1,1,0,?,1,1,1,0.390707,0.147964,0.450266,0.342762,0.599292,0.433524,0.138201,0.502969,democrat
0,1,0,1,1,0,0,0,0,0,?,?,1,1,0,0,0.564721,0.983912,0.619755,0.568417,0.161317,0.870028,0.495921,0.628936,republican
0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0.585921,0.627227,0.120162,0.907265,0.497448,0.971993,0.472618,0.150563,republican
1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0.093946,0.102207,0.915215,0.821782,0.655722,0.615645,0.020939,0.615591,republican
1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.383062,0.798321,0.002282,0.648395,0.246899,0.626966,0.69399,0.460928,republican
1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0.315816,0.751233,0.073261,0.869017,0.295218,0.656307,0.671558,0.927108,democrat
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.75214,0.040328,0.100098,0.041098,0.376086,0.081629,0.138689,0.949612,republican
1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0.388415,0.416053,0.426955,0.68697,0.310215,0.428652,0.973647,0.702841,democrat
0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0.151048,0.520319,0.201058,0.693256,0.93376,0.046191,0.952295,0.722521,democrat
0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0.539083,0.313276,0.22427,0.02113,0.713963,0.02496,0.925928,0.782318,democrat
1,?,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.560377,0.569725,0.557399,0.778218,0.229861,0.598128,0.679583,0.950442,democrat
0,?,0,0,0,1,1,1,1,1,0,0,0,1,0,?,0.155877,0.558446,0.459294,0.952909,0.787568,0.511906,0.427864,0.502031,democrat
1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0.256522,0.267743,0.492744,0.361856,0.689674,0.104449,0.155309,0.613086,republican
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,?,0.867312,0.790461,0.879219,0.61147,0.928289,0.08135,0.25833,0.011745,republican
0,1,1,0,0,0,1,1,1,1,0,0,?,0,1,1,0.823063,0.731774,0.434484,0.124151,0.321264,0.226008,0.195763,0.012672,democrat
0,?,?,1,1,1,0,0,0,1,0,1,1,1,?,1,0.110387,0.753025,0.667113,0.53008,0.361117,0.533156,0.105054,0.610348,republican
0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0.900429,0.614885,0.871938,0.975313,0.296199,0.503827,0.591112,0.557038,republican
1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0.686886,0.333131,0.300466,0.146994,0.213633,0.590039,0.14486,0.601226,democrat
0,0,1,0,0,1,1,1,0,0,1,0,0,1,?,1,0.173846,0.31031,0.74029,0.066434,0.143548,0.027473,0.898521,0.312284,democrat
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.807969,0.556576,0.085528,0.950872,0.454151,0.544449,0.674667,0.167172,democrat
0,1,1,0,0,1,0,1,1,0,1,0,?,?,?,?,0.099559,0.362981,0.730321,0.694667,0.057161,0.685446,0.536055,0.824943,democrat
0,?,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0.127035,0.040503,0.867421,0.770727,0.193137,0.737482,0.293292,0.764828,republican
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.869347,0.588086,0.023903,0.602941,0.816235,0.497609,0.677361,0.713694,republican
0,0,0,1,1,0,0,0,0,0,0,1,0,1,?,1,0.260872,0.40298,0.416029,0.710402,0.847917,0.369823,0.134021,0.538651,republican
0,1,1,0,0,1,1,1,1,1,0,?,0,0,1,1,0.113306,0.396662,0.955292,0.174203,0.819157,0.529652,0.447138,0.530588,democrat
1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0.299091,0.129609,0.987681,0.227581,0.670657,0.144724,0.647962,0.254419,democrat
1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0.840921,0.82822,0.098191,0.020198,0.730627,0.889576,0.91738,0.391824,democrat
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0.801831,0.397159,0.562605,0.857332,0.139632,0.243005,0.438187,0.252263,republican
0,0,0,1,0,1,1,?,1,0,0,1,1,1,0,1,0.120422,0.790397,0.278598,0.46477,0.242068,0.306219,0.404402,0.878046,republican
1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,?,0.785754,0.354244,0.258166,0.080174,0.713771,0.130095,0.644648,0.919235,republican
0,1,0,1,1,1,0,0,0,0,0,0,?,1,1,1,0.996412,0.005644,0.013437,0.421706,0.445311,0.789806,0.566652,0.704171,democrat
0,?,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0.198319,0.359018,0.417885,0.83469,0.450487,0.695102,0.379873,0.181397,democrat
0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0.145783,0.16494,0.874967,0.167101,0.319566,0.874536,0.803301,0.658754,republican
0,1,0,1,1,1,0,0,0,1,0,1,?,1,0,0,0.38034,0.673911,0.876243,0.174652,0.986786,0.221906,0.715454,0.515454,republican
0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0.771912,0.788543,0.280974,0.506262,0.831668,0.943195,0.453611,0.312878,republican
1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,?,0.016814,0.117393,0.899263,0.570695,0.383656,0.692299,0.719302,0.979912,democrat
1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,?,0.237138,0.29377,0.210744,0.835137,0.149617,0.133807,0.297092,0.99858,democrat
0,1,0,1,1,1,0,?,0,0,0,1,1,1,0,1,0.076047,0.172766,0.300869,0.356508,0.333744,0.92114,0.043695,0.765765,republican
1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0.933519,0.769806,0.346815,0.596278,0.469381,0.328305,0.854434,0.556803,republican
1,?,0,1,1,1,1,1,0,0,0,1,?,1,?,?,0.237048,0.053995,0.235037,0.819571,0.232304,0.023555,0.564099,0.766718,republican
0,1,1,0,?,1,1,1,1,1,1,0,0,?,0,?,0.891871,0.959546,0.142517,0.629341,0.954996,0.723246,0.989218,0.354889,democrat
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.30521,0.228563,0.163717,0.436404,0.611435,0.714154,0.568777,0.668937,democrat
0,0,1,0,0,0,1,1,1,0,0,?,0,0,1,1,0.629092,0.948469,0.315286,0.916102,0.291941,0.48255,0.310421,0.073591,democrat
0,?,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0.11627,0.897357,0.50054,0.752371,0.437596,0.938296,0.999172,0.060337,republican
1,1,1,1,1,1,1,1,0,1,?,?,?,1,0,1,0.73376,0.060542,0.265759,0.220023,0.35379,0.972271,0.875685,0.763622,republican
0,?,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0.428555,0.931597,0.430311,0.40599,0.772401,0.33537,0.241081,0.059391,republican
?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,0.690016,0.461158,0.922659,0.120335,0.482156,0.0774,0.695383,0.671742,democrat
0,1,1,0,0,1,1,1,1,0,?,0,0,0,0,1,0.303501,0.766778,0.404271,0.797797,0.296701,0.034114,0.966596,0.963481,democrat
0,?,1,?,0,1,1,1,1,1,1,0,?,?,1,1,0.439732,0.9671,0.513452,0.94066,0.879906,0.1007,0.537451,0.336359,democrat
1,?,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.474462,0.753656,0.811157,0.903724,0.197943,0.27997,0.526845,0.41677,democrat
0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,?,0.182951,0.56354,0.760789,0.072159,0.617662,0.74357,0.533019,0.452683,democrat
1,0,1,0,1,1,1,0,?,0,1,0,1,1,1,?,0.203794,0.466266,0.324029,0.73302,0.920806,0.394458,0.395495,0.597616,democrat
0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0.916621,0.128071,0.004727,0.191215,0.753582,0.668946,0.082806,0.007393,democrat
1,0,1,0,0,?,1,1,1,0,?,?,0,?,?,?,0.128222,0.46696,0.422882,0.930694,0.281131,0.566594,0.16305,0.925507,democrat
0,1,1,0,0,0,1,1,1,0,0,0,1,0,?,?,0.211596,0.861763,0.750739,0.871647,0.066425,0.146222,0.564306,0.182841,democrat
0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0.59249,0.028488,0.593046,0.024498,0.443118,0.976331,0.581925,0.787537,democrat
1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0.72793,0.92726,0.143492,0.091456,0.901891,0.278214,0.339754,0.530797,republican
1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0.971292,0.313107,0.699358,0.816435,0.259812,0.750033,0.162298,0.784401,democrat
1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,?,0.968444,0.793902,0.866419,0.134095,0.632251,0.31015,0.564872,0.915707,democrat
0,?,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0.479479,0.508714,0.03612,0.418801,0.476873,0.247985,0.818755,0.995936,democrat
1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0.770582,0.789876,0.967065,0.38428,0.229251,0.520692,0.298397,0.7275,democrat
1,1,1,0,0,?,1,1,1,1,0,0,0,0,1,?,0.970555,0.422023,0.55284,0.434755,0.299617,0.183926,0.067698,0.76618,democrat
0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,?,0.03654,0.361408,0.108216,0.51833,0.450298,0.194987,0.412389,0.863912,democrat
0,0,1,0,0,0,1,1,1,1,1,?,0,0,1,1,0.223452,0.02876,0.755748,0.783427,0.823348,0.07662,0.275553,0.507972,democrat
1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,?,0.201683,0.538973,0.74481,0.589031,0.137932,0.179753,0.80332,0.982351,democrat
0,1,0,1,1,1,0,0,0,1,?,1,1,1,0,1,0.217579,0.480901,0.785099,0.669549,0.826967,0.533454,0.457747,0.027078,republican
1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.94124,0.110549,0.726629,0.505041,0.132576,0.520392,0.403948,0.521292,democrat
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.896164,0.070934,0.168257,0.197625,0.429863,0.866073,0.128469,0.865845,republican
1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0.615279,0.001895,0.82677,0.40482,0.298565,0.680143,0.495968,0.991195,republican
1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.91787,0.653152,0.748555,0.130624,0.112085,0.538036,0.701215,0.166399,republican
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.951968,0.36386,0.6959,0.425093,0.163462,0.84125,0.823447,0.034965,republican
1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0.896692,0.021983,0.28994,0.293214,0.597794,0.944518,0.940112,0.55336,democrat
1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,?,0.469112,0.866726,0.742293,0.363846,0.670649,0.788181,0.007036,0.757938,democrat
0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,?,0.630137,0.747345,0.257404,0.119517,0.101999,0.024025,0.962025,0.536094,democrat
1,?,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.133974,0.701582,0.437645,0.737849,0.545204,0.872863,0.75897,0.827396,democrat
1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,?,0.815687,0.967037,0.273185,0.845403,0.440575,0.202158,0.289442,0.930501,democrat
0,?,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0.761379,0.788729,0.548673,0.734716,0.773057,0.561954,0.398845,0.841621,democrat
?,?,?,?,0,1,0,1,1,0,0,1,1,0,0,?,0.755541,0.636157,0.74876,0.845314,0.503554,0.167399,0.454141,0.800326,republican
1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,?,0.650092,0.693113,0.794492,0.55949,0.693429,0.066149,0.170174,0.468469,democrat
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0.549638,0.733555,0.192611,0.613613,0.591711,0.978926,0.651643,0.418004,republican
0,0,1,0,1,1,0,0,0,0,?,0,1,1,0,0,0.95749,0.746796,0.429779,0.675766,0.204548,0.551511,0.85773,0.853488,democrat
0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0.276962,0.925315,0.69378,0.890475,0.116418,0.006465,0.946442,0.745042,republican
0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0.312498,0.878451,0.25371,0.441337,0.582652,0.432838,0.205667,0.797556,republican
0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,?,0.665129,0.18527,0.081199,0.432297,0.162786,0.202172,0.528014,0.931922,democrat
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0.166825,0.649892,0.544688,0.63838,0.41427,0.249059,0.636421,0.204059,republican
0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0.748251,0.872545,0.258803,0.92665,0.416088,0.204545,0.517613,0.337544,democrat
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.384465,0.999638,0.420843,0.398169,0.141784,0.620662,0.770395,0.295592,republican
0,1,1,0,0,1,1,1,?,0,1,1,0,0,1,1,0.013091,0.766134,0.216426,0.551756,0.951464,0.774365,0.825846,0.568197,democrat
1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0.569493,0.193499,0.126318,0.020314,0.722273,0.789156,0.246424,0.100198,republican
0,?,1,0,0,1,1,1,0,1,0,0,0,0,1,?,0.533488,0.556511,0.216477,0.6805,0.386902,0.062676,0.561026,0.036059,democrat
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.632127,0.482207,0.74334,0.186544,0.899638,0.238556,0.343022,0.707138,republican
0,0,0,1,1,1,1,1,1,1,0,1,1,1,?,1,0.593069,0.294264,0.656396,0.228968,0.899506,0.210787,0.48831,0.537233,republican
1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0.093088,0.966064,0.830061,0.069009,0.590011,0.898911,0.900407,0.792185,democrat
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.296243,0.295767,0.106896,0.14952,0.605043,0.782308,0.039619,0.34931,republican
0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0.62623,0.16663,0.484194,0.833121,0.880439,0.431851,0.043314,0.912458,republican
1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0.667472,0.005885,0.025976,0.568398,0.80077,0.527224,0.374335,0.348464,republican
0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0.33945,0.805441,0.332416,0.03492,0.140855,0.098175,0.20458,0.070783,democrat
1,?,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0.738829,0.3177,0.648731,0.067856,0.571548,0.977991,0.990782,0.646083,republican
0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0.293893,0.289757,0.945568,0.412979,0.749329,0.707467,0.949521,0.049585,democrat
1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.125834,0.84928,0.552925,0.612829,0.259226,0.377667,0.388492,0.244924,republican
1,1,1,0,0,1,1,1,1,1,0,0,?,0,1,?,0.761419,0.40534,0.179621,0.57483,0.930598,0.149739,0.101079,0.014313,democrat
1,0,1,0,0,0,1,1,1,1,0,0,?,0,1,1,0.591567,0.677473,0.400363,0.622127,0.295318,0.440078,0.281242,0.214802,democrat
?,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0.720367,0.716266,0.942434,0.077934,0.207878,0.009114,0.665762,0.886394,democrat
1,0,1,0,0,0,1,1,1,1,0,?,0,0,1,1,0.099073,0.028732,0.35403,0.684171,0.896956,0.442006,0.860881,0.887817,democrat
1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0.089594,0.171768,0.886287,0.405172,0.967962,0.759529,0.060351,0.985721,democrat
0,0,0,1,1,1,0,0,0,1,0,?,1,1,0,?,0.852036,0.426973,0.671018,0.417245,0.126122,0.147419,0.611938,0.573097,republican
0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,?,0.200792,0.420107,0.5262,0.334868,0.639591,0.042481,0.139405,0.442671,republican
1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0.823746,0.798467,0.971236,0.974292,0.812167,0.063723,0.177007,0.291089,democrat
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.009093,0.329478,0.284029,0.20535,0.985111,0.526798,0.523532,0.87965,republican
0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0.274335,0.033756,0.681895,0.692235,0.837607,0.530052,0.772914,0.027372,democrat
0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0.541952,0.215946,0.958346,0.574039,0.005413,0.850437,0.728452,0.862182,democrat
1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.756308,0.506606,0.157781,0.385831,0.2872,0.137587,0.657668,0.006,democrat
0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0.086309,0.278413,0.120101,0.771061,0.95815,0.144326,0.594834,0.619509,republican
1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0.108342,0.04999,0.977303,0.786056,0.960307,0.981903,0.148193,0.482381,democrat
0,1,0,1,1,1,0,0,0,1,0,1,1,1,?,0,0.614037,0.740614,0.934059,0.847408,0.98924,0.638222,0.51892,0.534746,republican
1,1,1,0,1,1,0,0,?,1,0,0,0,1,1,?,0.937373,0.889103,0.914328,0.623022,0.746533,0.247353,0.688837,0.555688,democrat
1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0.945667,0.200151,0.906027,0.417611,0.877643,0.848612,0.983926,0.904544,democrat
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.088967,0.031405,0.085793,0.853422,0.364648,0.623479,0.470666,0.500793,democrat
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.152397,0.684549,0.055859,0.896959,0.393426,0.848643,0.892226,0.468304,republican
0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0.605965,0.613697,0.775099,0.532511,0.964791,0.053456,0.101541,0.119745,democrat
0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0.696382,0.914352,0.016237,0.633239,0.769111,0.120073,0.198317,0.206909,democrat
0,1,0,1,1,1,0,0,0,1,0,?,1,1,0,0,0.675415,0.706233,0.431289,0.830618,0.093956,0.314565,0.826971,0.612765,republican
0,?,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.809304,0.273242,0.55724,0.433016,0.784292,0.487272,0.342566,0.910991,republican
?,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0.063782,0.073852,0.344004,0.694182,0.524756,0.930702,0.80175,0.468785,republican
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0.609221,0.985198,0.036693,0.982435,0.963548,0.633235,0.985738,0.018733,democrat
1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0.540441,0.394156,0.494224,0.651327,0.447469,0.916916,0.912377,0.87551,democrat
0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0.455706,0.998681,0.276296,0.662565,0.387629,0.697639,0.544304,0.2232,democrat
0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0.78945,0.432705,0.080781,0.261969,0.525371,0.855972,0.650254,0.149016,republican
1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0.043255,0.077848,0.363531,0.259262,0.617924,0.456928,0.026529,0.349197,democrat
0,1,0,1,1,1,?,?,0,0,?,?,1,?,?,?,0.309608,0.675252,0.222668,0.712446,0.31334,0.806956,0.535668,0.682873,republican
1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,?,0.732986,0.600801,0.879358,0.067575,0.234213,0.586427,0.669348,0.999663,democrat
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.802784,0.91701,0.337119,0.054686,0.53975,0.545907,0.59255,0.916808,republican
0,1,0,1,1,1,0,0,0,0,0,1,?,?,0,?,0.622618,0.564872,0.051686,0.890675,0.485695,0.504489,0.876015,0.471597,republican
0,1,0,1,1,1,0,?,0,1,0,1,1,1,0,?,0.550545,0.30894,0.693468,0.589906,0.751645,0.638473,0.374023,0.824892,republican
0,0,1,0,1,0,1,1,1,0,0,0,0,1,?,1,0.854723,0.298925,0.334625,0.433319,0.555305,0.29867,0.954537,0.441511,democrat
?,1,1,?,1,1,0,0,0,0,1,0,1,1,0,0,0.279043,0.361085,0.642799,0.896838,0.823188,0.844611,0.038723,0.423264,democrat
1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0.663269,0.382705,0.913527,0.589843,0.937308,0.233946,0.156893,0.920419,democrat
