@relation vote-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute handicapped-infants=y numeric
@attribute water-project-cost-sharing=y numeric
@attribute adoption-of-the-budget-resolution=y numeric
@attribute physician-fee-freeze=y numeric
@attribute el-salvador-aid=y numeric
@attribute religious-groups-in-schools=y numeric
@attribute anti-satellite-test-ban=y numeric
@attribute aid-to-nicaraguan-contras=y numeric
@attribute mx-missile=y numeric
@attribute immigration=y numeric
@attribute synfuels-corporation-cutback=y numeric
@attribute education-spending=y numeric
@attribute superfund-right-to-sue=y numeric
@attribute crime=y numeric
@attribute duty-free-exports=y numeric
@attribute export-administration-act-south-africa=y numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute Class {democrat,republican}

@data
0,?,1,?,0,1,1,1,1,1,1,0,?,?,1,1,0.440754,0.679538,0.397787,democrat
1,?,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.699252,0.910863,0.892517,democrat
0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,?,0.756392,0.153647,0.32974,democrat
1,0,1,0,1,1,1,0,?,0,1,0,1,1,1,?,0.021459,0.093366,0.977949,democrat
0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0.33267,0.750404,0.742557,democrat
1,0,1,0,0,?,1,1,1,0,?,?,0,?,?,?,0.015725,0.941077,0.417767,democrat
0,1,1,0,0,0,1,1,1,0,0,0,1,0,?,?,0.905339,0.591082,0.976331,democrat
0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0.14489,0.985764,0.807252,democrat
1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0.895471,0.055256,0.487253,republican
1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0.261111,0.834532,0.001846,democrat
1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,?,0.100269,0.794491,0.913397,democrat
0,?,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0.521776,0.209381,0.472097,democrat
1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0.579351,0.722761,0.503169,democrat
1,1,1,0,0,?,1,1,1,1,0,0,0,0,1,?,0.191765,0.639446,0.565518,democrat
0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,?,0.366382,0.322093,0.888735,democrat
0,0,1,0,0,0,1,1,1,1,1,?,0,0,1,1,0.772008,0.570635,0.812419,democrat
1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,?,0.982626,0.970584,0.152703,democrat
0,1,0,1,1,1,0,0,0,1,?,1,1,1,0,1,0.225412,0.522401,0.283652,republican
1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.106311,0.827417,0.61061,democrat
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.562475,0.948986,0.696378,republican
1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0.383457,0.874327,0.859698,republican
1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.134772,0.204313,0.450932,republican
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.209811,0.152661,0.556114,republican
1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0.959045,0.50202,0.158413,democrat
1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,?,0.312329,0.796895,0.442131,democrat
0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,?,0.661029,0.775372,0.934951,democrat
1,?,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.2889,0.75568,0.20104,democrat
1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,?,0.949233,0.630811,0.854266,democrat
0,?,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0.587841,0.825912,0.352874,democrat
?,?,?,?,0,1,0,1,1,0,0,1,1,0,0,?,0.276637,0.143052,0.384146,republican
1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,?,0.119711,0.879264,0.186622,democrat
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0.754201,0.532463,0.413042,republican
0,0,1,0,1,1,0,0,0,0,?,0,1,1,0,0,0.172973,0.618583,0.455689,democrat
0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0.7849,0.005014,0.987894,republican
0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0.166273,0.407503,0.529305,republican
0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,?,0.991073,0.413742,0.130611,democrat
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0.112291,0.323879,0.913826,republican
0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0.120578,0.345162,0.934741,democrat
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.324134,0.608915,0.539294,republican
0,1,1,0,0,1,1,1,?,0,1,1,0,0,1,1,0.907713,0.655591,0.531646,democrat
1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0.682623,0.741195,0.187525,republican
0,?,1,0,0,1,1,1,0,1,0,0,0,0,1,?,0.611239,0.026304,0.782115,democrat
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.753175,0.939639,0.641939,republican
0,0,0,1,1,1,1,1,1,1,0,1,1,1,?,1,0.791985,0.402846,0.629395,republican
1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0.730573,0.582655,0.024431,democrat
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.073358,0.09683,0.736998,republican
0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0.86916,0.772399,0.793089,republican
1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0.256151,0.206818,0.232743,republican
0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0.97979,0.632956,0.683361,democrat
1,?,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0.450163,0.941486,0.351925,republican
0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0.232536,0.328051,0.645364,democrat
1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.414429,0.470451,0.389418,republican
1,1,1,0,0,1,1,1,1,1,0,0,?,0,1,?,0.869256,0.746191,0.457077,democrat
1,0,1,0,0,0,1,1,1,1,0,0,?,0,1,1,0.24998,0.387806,0.364309,democrat
?,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0.210646,0.216425,0.056872,democrat
1,0,1,0,0,0,1,1,1,1,0,?,0,0,1,1,0.007904,0.536626,0.012168,democrat
1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0.230898,0.983319,0.853646,democrat
0,0,0,1,1,1,0,0,0,1,0,?,1,1,0,?,0.814353,0.329914,0.349462,republican
0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,?,0.896012,0.841811,0.937211,republican
1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0.285818,0.319704,0.911531,democrat
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.830671,0.77698,0.558674,republican
0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0.434451,0.35041,0.518838,democrat
0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0.83851,0.495795,0.797665,democrat
1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.925941,0.408756,0.854289,democrat
0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0.481821,0.812095,0.532139,republican
1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0.542314,0.208689,0.374882,democrat
0,1,0,1,1,1,0,0,0,1,0,1,1,1,?,0,0.693216,0.246315,0.713339,republican
1,1,1,0,1,1,0,0,?,1,0,0,0,1,1,?,0.469083,0.567984,0.880991,democrat
1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0.092352,0.331209,0.293759,democrat
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.630199,0.920529,0.032519,democrat
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.898387,0.736674,0.714519,republican
0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0.653944,0.52566,0.948905,democrat
0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0.630811,0.812785,0.619747,democrat
0,1,0,1,1,1,0,0,0,1,0,?,1,1,0,0,0.196854,0.478969,0.834689,republican
0,?,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.979509,0.731882,0.902895,republican
?,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0.668397,0.87748,0.018546,republican
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0.585293,0.428666,0.511537,democrat
1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0.883752,0.060434,0.425485,democrat
0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0.025505,0.692067,0.835341,democrat
0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0.681904,0.833551,0.97241,republican
1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0.050172,0.363695,0.40348,democrat
0,1,0,1,1,1,?,?,0,0,?,?,1,?,?,?,0.04736,0.822768,0.699294,republican
1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,?,0.302178,0.813872,0.933751,democrat
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.091171,0.410299,0.243827,republican
0,1,0,1,1,1,0,0,0,0,0,1,?,?,0,?,0.103368,0.975962,0.151711,republican
0,1,0,1,1,1,0,?,0,1,0,1,1,1,0,?,0.315263,0.133282,0.018034,republican
0,0,1,0,1,0,1,1,1,0,0,0,0,1,?,1,0.855627,0.860579,0.864035,democrat
?,1,1,?,1,1,0,0,0,0,1,0,1,1,0,0,0.697279,0.509403,0.741821,democrat
1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0.634016,0.890431,0.390359,democrat
