@relation vote-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute handicapped-infants=y numeric
@attribute water-project-cost-sharing=y numeric
@attribute adoption-of-the-budget-resolution=y numeric
@attribute physician-fee-freeze=y numeric
@attribute el-salvador-aid=y numeric
@attribute religious-groups-in-schools=y numeric
@attribute anti-satellite-test-ban=y numeric
@attribute aid-to-nicaraguan-contras=y numeric
@attribute mx-missile=y numeric
@attribute immigration=y numeric
@attribute synfuels-corporation-cutback=y numeric
@attribute education-spending=y numeric
@attribute superfund-right-to-sue=y numeric
@attribute crime=y numeric
@attribute duty-free-exports=y numeric
@attribute export-administration-act-south-africa=y numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute NewNumeric3 numeric
@attribute NewNumeric4 numeric
@attribute Class {democrat,republican}

@data
1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.349603,0.066942,0.267723,0.907035,0.847034,republican
1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0.764529,0.392241,0.904022,0.461084,0.977962,democrat
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.559259,0.249451,0.649404,0.821152,0.279791,republican
1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0.85039,0.356251,0.492474,0.73009,0.273555,democrat
0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0.129656,0.510092,0.954251,0.295876,0.584872,democrat
0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0.491128,0.983297,0.863039,0.249327,0.463364,democrat
1,?,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.000283,0.894095,0.510153,0.78416,0.853577,democrat
0,?,0,0,0,1,1,1,1,1,0,0,0,1,0,?,0.787351,0.738225,0.140922,0.808821,0.580495,democrat
1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0.087386,0.42156,0.962197,0.34803,0.894787,republican
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,?,0.680741,0.530427,0.181519,0.54256,0.465976,republican
0,1,1,0,0,0,1,1,1,1,0,0,?,0,1,1,0.710026,0.147997,0.851027,0.651017,0.188757,democrat
0,?,?,1,1,1,0,0,0,1,0,1,1,1,?,1,0.355653,0.021119,0.980188,0.192654,0.037549,republican
0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0.4457,0.25196,0.581665,0.614258,0.246052,republican
1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0.486537,0.199619,0.861025,0.954855,0.302132,democrat
0,0,1,0,0,1,1,1,0,0,1,0,0,1,?,1,0.119025,0.25155,0.876807,0.179642,0.824502,democrat
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.970992,0.856811,0.870209,0.289269,0.452228,democrat
0,1,1,0,0,1,0,1,1,0,1,0,?,?,?,?,0.709923,0.511979,0.949396,0.710847,0.574555,democrat
0,?,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0.265628,0.370668,0.351746,0.477298,0.409262,republican
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.15524,0.283035,0.482887,0.439259,0.88785,republican
0,0,0,1,1,0,0,0,0,0,0,1,0,1,?,1,0.961836,0.190009,0.128834,0.614849,0.833776,republican
0,1,1,0,0,1,1,1,1,1,0,?,0,0,1,1,0.502157,0.595134,0.6886,0.570436,0.301392,democrat
1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0.657447,0.657203,0.705908,0.173099,0.614003,democrat
1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0.486097,0.45845,0.222479,0.517636,0.187153,democrat
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0.120251,0.587662,0.613672,0.142821,0.136188,republican
0,0,0,1,0,1,1,?,1,0,0,1,1,1,0,1,0.073818,0.229678,0.234191,0.547138,0.4516,republican
1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,?,0.838034,0.953432,0.376592,0.158124,0.71373,republican
0,1,0,1,1,1,0,0,0,0,0,0,?,1,1,1,0.698118,0.52926,0.825835,0.496434,0.03957,democrat
0,?,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0.2106,0.370594,0.539714,0.312913,0.654774,democrat
0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0.069112,0.267934,0.392303,0.267331,0.530764,republican
0,1,0,1,1,1,0,0,0,1,0,1,?,1,0,0,0.281027,0.026664,0.96498,0.721366,0.842013,republican
0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0.473731,0.750496,0.768077,0.373689,0.524069,republican
1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,?,0.210813,0.506398,0.927994,0.205921,0.91245,democrat
1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,?,0.156201,0.307472,0.523753,0.825531,0.70495,democrat
0,1,0,1,1,1,0,?,0,0,0,1,1,1,0,1,0.876741,0.374884,0.911413,0.936954,0.202733,republican
1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0.634433,0.818413,0.738714,0.210998,0.004673,republican
1,?,0,1,1,1,1,1,0,0,0,1,?,1,?,?,0.472058,0.688411,0.913624,0.902292,0.376883,republican
0,1,1,0,?,1,1,1,1,1,1,0,0,?,0,?,0.967966,0.955935,0.863206,0.663993,0.498332,democrat
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.812425,0.050085,0.349285,0.897612,0.903121,democrat
0,0,1,0,0,0,1,1,1,0,0,?,0,0,1,1,0.010296,0.134908,0.003577,0.912955,0.203293,democrat
0,?,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0.925,0.772683,0.505732,0.33656,0.385688,republican
1,1,1,1,1,1,1,1,0,1,?,?,?,1,0,1,0.400756,0.399936,0.889116,0.245195,0.673116,republican
0,?,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0.199816,0.910784,0.095693,0.75905,0.792729,republican
?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?,0.467884,0.745175,0.568899,0.707437,0.817282,democrat
0,1,1,0,0,1,1,1,1,0,?,0,0,0,0,1,0.934502,0.773161,0.787395,0.034873,0.224312,democrat
0,?,1,?,0,1,1,1,1,1,1,0,?,?,1,1,0.70717,0.318341,0.344068,0.42814,0.187768,democrat
1,?,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.05036,0.311057,0.038862,0.125592,0.423353,democrat
0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,?,0.081953,0.315559,0.757404,0.58778,0.673945,democrat
1,0,1,0,1,1,1,0,?,0,1,0,1,1,1,?,0.409477,0.924887,0.97037,0.979298,0.399831,democrat
0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0.987893,0.091392,0.471001,0.292389,0.142287,democrat
1,0,1,0,0,?,1,1,1,0,?,?,0,?,?,?,0.843983,0.558657,0.999785,0.929416,0.484189,democrat
0,1,1,0,0,0,1,1,1,0,0,0,1,0,?,?,0.370895,0.570345,0.287763,0.701478,0.692522,democrat
0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0.310749,0.915825,0.177481,0.480276,0.7838,democrat
1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0.637798,0.699486,0.277824,0.018011,0.413166,republican
1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0.614049,0.581204,0.494132,0.859101,0.337011,democrat
1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,?,0.731692,0.689227,0.211447,0.92495,0.483776,democrat
0,?,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0.767155,0.260005,0.314729,0.357552,0.4584,democrat
1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0.032947,0.679092,0.171289,0.325155,0.255934,democrat
1,1,1,0,0,?,1,1,1,1,0,0,0,0,1,?,0.179151,0.12714,0.700358,0.577741,0.577904,democrat
0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,?,0.707233,0.281445,0.104954,0.650035,0.258096,democrat
0,0,1,0,0,0,1,1,1,1,1,?,0,0,1,1,0.60876,0.937992,0.915742,0.930108,0.792539,democrat
1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,?,0.257862,0.008124,0.110539,0.903676,0.509554,democrat
0,1,0,1,1,1,0,0,0,1,?,1,1,1,0,1,0.891636,0.497083,0.351088,0.436721,0.885121,republican
1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.497142,0.698102,0.740587,0.125259,0.83512,democrat
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.255935,0.865252,0.392913,0.297044,0.498173,republican
1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0.966332,0.829276,0.521563,0.221292,0.174712,republican
1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.043276,0.251417,0.207237,0.138298,0.776855,republican
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.182866,0.620922,0.065404,0.54356,0.951207,republican
1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0.564178,0.46482,0.71259,0.154087,0.172002,democrat
1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,?,0.544273,0.487158,0.585886,0.087974,0.056919,democrat
0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,?,0.870266,0.57138,0.24794,0.828473,0.298263,democrat
1,?,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.478571,0.073717,0.705659,0.448041,0.745632,democrat
1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,?,0.416957,0.617736,0.125942,0.934319,0.113844,democrat
0,?,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0.599543,0.45374,0.170112,0.374793,0.865583,democrat
?,?,?,?,0,1,0,1,1,0,0,1,1,0,0,?,0.932697,0.963647,0.714275,0.411199,0.083797,republican
1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,?,0.441461,0.242095,0.382977,0.93843,0.272228,democrat
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0.582453,0.543027,0.232638,0.386932,0.03034,republican
0,0,1,0,1,1,0,0,0,0,?,0,1,1,0,0,0.441364,0.346472,0.597533,0.337226,0.641644,democrat
0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0.507979,0.792296,0.680873,0.465782,0.698947,republican
0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0.478486,0.757447,0.578753,0.603343,0.130243,republican
0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,?,0.605015,0.718616,0.331214,0.814247,0.581321,democrat
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0.630917,0.404589,0.678816,0.075876,0.649043,republican
0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0.533115,0.697294,0.896909,0.021423,0.654714,democrat
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.170929,0.403,0.514642,0.077054,0.836528,republican
0,1,1,0,0,1,1,1,?,0,1,1,0,0,1,1,0.288207,0.795312,0.718029,0.074945,0.606001,democrat
1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0.884867,0.481509,0.915873,0.781886,0.909265,republican
0,?,1,0,0,1,1,1,0,1,0,0,0,0,1,?,0.557561,0.315042,0.236579,0.596157,0.008686,democrat
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.904228,0.532745,0.029756,0.624372,0.370711,republican
0,0,0,1,1,1,1,1,1,1,0,1,1,1,?,1,0.643784,0.57815,0.335973,0.130397,0.277332,republican
1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0.595059,0.834815,0.571314,0.559784,0.383384,democrat
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.12636,0.854253,0.229078,0.342006,0.018302,republican
0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0.037425,0.858299,0.229107,0.193341,0.415863,republican
1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0.029491,0.552634,0.944575,0.361165,0.375229,republican
0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0.99026,0.75027,0.355482,0.797275,0.41246,democrat
1,?,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0.002519,0.999334,0.79921,0.854006,0.894932,republican
0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0.374974,0.654262,0.853035,0.942894,0.189204,democrat
1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.578525,0.118041,0.78493,0.112211,0.342982,republican
1,1,1,0,0,1,1,1,1,1,0,0,?,0,1,?,0.509838,0.322368,0.823855,0.259503,0.414885,democrat
1,0,1,0,0,0,1,1,1,1,0,0,?,0,1,1,0.658112,0.313698,0.542134,0.19782,0.321639,democrat
?,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0.013206,0.859405,0.173795,0.351184,0.410739,democrat
1,0,1,0,0,0,1,1,1,1,0,?,0,0,1,1,0.934594,0.655729,0.545892,0.938029,0.796101,democrat
1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0.284393,0.531372,0.199714,0.324566,0.008161,democrat
0,0,0,1,1,1,0,0,0,1,0,?,1,1,0,?,0.515332,0.796811,0.57942,0.988974,0.043012,republican
0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,?,0.224556,0.009012,0.863192,0.640227,0.892287,republican
1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0.748908,0.807489,0.302186,0.81287,0.688926,democrat
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.724863,0.105374,0.240243,0.047555,0.672833,republican
0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0.501729,0.511542,0.298419,0.91633,0.51219,democrat
0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0.914758,0.422974,0.694082,0.413623,0.445142,democrat
1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.36906,0.867293,0.990662,0.146423,0.411751,democrat
0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0.109283,0.535832,0.948853,0.042178,0.807718,republican
1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0.598143,0.242267,0.06314,0.943222,0.288245,democrat
0,1,0,1,1,1,0,0,0,1,0,1,1,1,?,0,0.341493,0.594734,0.138762,0.096482,0.301755,republican
1,1,1,0,1,1,0,0,?,1,0,0,0,1,1,?,0.65464,0.99935,0.917625,0.801759,0.689817,democrat
1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0.725335,0.026147,0.402291,0.502016,0.538292,democrat
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.203328,0.969422,0.302158,0.541747,0.616312,democrat
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.21759,0.277929,0.908702,0.990343,0.025058,republican
0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0.89057,0.086222,0.748194,0.450039,0.285446,democrat
0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0.577012,0.095231,0.708212,0.047713,0.934002,democrat
0,1,0,1,1,1,0,0,0,1,0,?,1,1,0,0,0.316031,0.552615,0.227751,0.719051,0.393377,republican
0,?,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.037654,0.350614,0.242795,0.51073,0.93869,republican
?,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0.336513,0.382807,0.417931,0.515443,0.165672,republican
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0.895197,0.031665,0.137171,0.481931,0.365522,democrat
1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0.743298,0.402114,0.820323,0.278971,0.524411,democrat
0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0.464113,0.151167,0.295217,0.461156,0.452175,democrat
0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0.049342,0.805321,0.42743,0.663948,0.990165,republican
1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0.704598,0.398909,0.782594,0.960627,0.589357,democrat
0,1,0,1,1,1,?,?,0,0,?,?,1,?,?,?,0.783038,0.087479,0.623307,0.728275,0.506496,republican
1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,?,0.88695,0.625519,0.299199,0.014719,0.277162,democrat
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.245568,0.618977,0.032379,0.271061,0.497825,republican
0,1,0,1,1,1,0,0,0,0,0,1,?,?,0,?,0.493477,0.328161,0.693084,0.547264,0.784947,republican
0,1,0,1,1,1,0,?,0,1,0,1,1,1,0,?,0.099376,0.782284,0.336131,0.483748,0.94291,republican
0,0,1,0,1,0,1,1,1,0,0,0,0,1,?,1,0.830999,0.302102,0.289466,0.42313,0.434188,democrat
?,1,1,?,1,1,0,0,0,0,1,0,1,1,0,0,0.631707,0.503896,0.924561,0.566284,0.625339,democrat
1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0.607782,0.402864,0.293515,0.605758,0.18832,democrat
